KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	FlipAngle	HasFieldmap	ImageOrientation	KeyGroupCount	Modality	NSliceTimes	NumVolumes	Obliquity	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3	FilePath
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest001/ses-1/anat/sub-colornest001_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest134/ses-1/anat/sub-colornest134_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest125/ses-1/anat/sub-colornest125_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest126/ses-1/anat/sub-colornest126_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest127/ses-1/anat/sub-colornest127_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest128/ses-1/anat/sub-colornest128_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest129/ses-1/anat/sub-colornest129_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest130/ses-1/anat/sub-colornest130_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest131/ses-1/anat/sub-colornest131_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest132/ses-1/anat/sub-colornest132_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest133/ses-1/anat/sub-colornest133_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest135/ses-1/anat/sub-colornest135_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest123/ses-1/anat/sub-colornest123_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest136/ses-1/anat/sub-colornest136_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest137/ses-1/anat/sub-colornest137_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest138/ses-1/anat/sub-colornest138_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest139/ses-1/anat/sub-colornest139_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest140/ses-1/anat/sub-colornest140_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest141/ses-1/anat/sub-colornest141_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest142/ses-1/anat/sub-colornest142_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest143/ses-1/anat/sub-colornest143_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest145/ses-1/anat/sub-colornest145_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest124/ses-1/anat/sub-colornest124_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest122/ses-1/anat/sub-colornest122_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest147/ses-1/anat/sub-colornest147_ses-1_rec-refaced_T1w.nii.gz
datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0	/sub-colornest109/ses-1/anat/sub-colornest109_ses-1_rec-refaced_T1w.nii.gz
